Place,Date,Time,Value,Unit
1,5/11/24,15:42:08,8500,LUX     
2,5/11/24,15:52:07,8790,LUX     
3,5/11/24,16:02:07,23600,LUX     
4,5/11/24,16:12:07,51100,LUX     
5,5/11/24,16:22:07,19500,LUX     
6,5/11/24,16:32:07,13430,LUX     
7,5/11/24,16:42:07,21600,LUX     
8,5/11/24,16:52:07,13360,LUX     
9,5/11/24,17:02:07,6420,LUX     
10,5/11/24,17:12:07,14480,LUX     
11,5/11/24,17:22:07,4470,LUX     
12,5/11/24,17:32:07,3510,LUX     
13,5/11/24,17:42:07,3710,LUX     
14,5/11/24,17:52:07,3600,LUX     
15,5/11/24,18:02:07,2200,LUX     
16,5/11/24,18:12:07,1233,LUX     
17,5/11/24,18:22:07,424,LUX     
18,5/11/24,18:32:07,96,LUX     
19,5/11/24,18:42:07,11,LUX     
20,5/11/24,18:52:07,0,LUX     
21,5/11/24,19:02:07,0,LUX     
22,5/11/24,19:12:07,0,LUX     
23,5/11/24,19:22:07,0,LUX     
24,5/11/24,19:32:07,0,LUX     
25,5/11/24,19:42:07,0,LUX     
26,5/11/24,19:52:07,0,LUX     
27,5/11/24,20:02:07,0,LUX     
28,5/11/24,20:12:07,0,LUX     
29,5/11/24,20:22:07,0,LUX     
30,5/11/24,20:32:07,0,LUX     
31,5/11/24,20:42:07,0,LUX     
32,5/11/24,20:52:07,0,LUX     
33,5/11/24,21:02:07,0,LUX     
34,5/11/24,21:12:07,0,LUX     
35,5/11/24,21:22:07,0,LUX     
36,5/11/24,21:32:07,0,LUX     
37,5/11/24,21:42:07,0,LUX     
38,5/11/24,21:52:07,0,LUX     
39,5/11/24,22:02:07,0,LUX     
40,5/11/24,22:12:07,0,LUX     
41,5/11/24,22:22:07,0,LUX     
42,5/11/24,22:32:07,0,LUX     
43,5/11/24,22:42:07,0,LUX     
44,5/11/24,22:52:07,0,LUX     
45,5/11/24,23:02:07,0,LUX     
46,5/11/24,23:12:07,0,LUX     
47,5/11/24,23:22:07,0,LUX     
48,5/11/24,23:32:07,0,LUX     
49,5/11/24,23:42:07,0,LUX     
50,5/11/24,23:52:07,0,LUX     
51,5/12/24,0:02:07,0,LUX     
52,5/12/24,0:12:07,0,LUX     
53,5/12/24,0:22:07,0,LUX     
54,5/12/24,0:32:07,0,LUX     
55,5/12/24,0:42:07,0,LUX     
56,5/12/24,0:52:07,0,LUX     
57,5/12/24,1:02:07,0,LUX     
58,5/12/24,1:12:07,0,LUX     
59,5/12/24,1:22:07,0,LUX     
60,5/12/24,1:32:07,0,LUX     
61,5/12/24,1:42:07,0,LUX     
62,5/12/24,1:52:07,0,LUX     
63,5/12/24,2:02:07,0,LUX     
64,5/12/24,2:12:07,0,LUX     
65,5/12/24,2:22:07,0,LUX     
66,5/12/24,2:32:07,0,LUX     
67,5/12/24,2:42:07,0,LUX     
68,5/12/24,2:52:07,0,LUX     
69,5/12/24,3:02:07,0,LUX     
70,5/12/24,3:12:07,0,LUX     
71,5/12/24,3:22:07,0,LUX     
72,5/12/24,3:32:07,0,LUX     
73,5/12/24,3:42:07,0,LUX     
74,5/12/24,3:52:07,0,LUX     
75,5/12/24,4:02:07,0,LUX     
76,5/12/24,4:12:07,0,LUX     
77,5/12/24,4:22:07,0,LUX     
78,5/12/24,4:32:07,0,LUX     
79,5/12/24,4:42:07,0,LUX     
80,5/12/24,4:52:07,0,LUX     
81,5/12/24,5:02:07,0,LUX     
82,5/12/24,5:12:07,0,LUX     
83,5/12/24,5:22:07,0,LUX     
84,5/12/24,5:32:07,0,LUX     
85,5/12/24,5:42:07,0,LUX     
86,5/12/24,5:52:07,0,LUX     
87,5/12/24,6:02:07,1,LUX     
88,5/12/24,6:12:07,29,LUX     
89,5/12/24,6:22:07,218,LUX     
90,5/12/24,6:32:07,874,LUX     
