Date,Time,T1,T2, T3,T4, Scale
2024/05/24,08:38:14,47.3,49.6,15.4,-OL,C
2024/05/24,08:48:14,47.9,49.9,15.6,-OL,C
2024/05/24,08:58:14,48.6,50.5,16.5,-OL,C
2024/05/24,09:08:14,54.5,50.3,19.1,-OL,C
2024/05/24,09:18:14,52.8,54.8,18.9,-OL,C
2024/05/24,09:28:14,52.8,55.2,18.9,-OL,C
2024/05/24,09:38:14,53.7,55.9,19.1,-OL,C
2024/05/24,09:48:14,54.3,56.3,19.3,-OL,C
2024/05/24,09:58:14,55.2,57.1,19.5,-OL,C
2024/05/24,10:08:14,56.3,58.3,20.1,-OL,C
2024/05/24,10:18:14,57.6,59.3,21.1,-OL,C
2024/05/24,10:28:14,61.5,60.5,21.3,-OL,C
2024/05/24,10:38:14,59.2,61.8,21.6,-OL,C
2024/05/24,10:48:14,59.9,62.1,21.6,-OL,C
2024/05/24,10:58:14,61.1,63.6,21.7,-OL,C
2024/05/24,11:08:14,62.2,64.6,22.5,-OL,C
2024/05/24,11:18:14,62.3,64.9,22.8,-OL,C
2024/05/24,11:28:14,65.2,66.1,23.3,-OL,C
2024/05/24,11:38:14,63.8,66.2,23.3,-OL,C
2024/05/24,11:48:14,64.3,67.0,24.1,-OL,C
2024/05/24,11:58:14,64.7,67.1,24.1,-OL,C
