Date,Time,T1,T2, T3,T4, Scale
2024/06/17,16:06:09,23.9,23.2,19.9,-OL,C
2024/06/17,16:16:09,24.5,23.6,20.3,-OL,C
2024/06/17,16:26:09,25.3,24.0,20.4,-OL,C
2024/06/17,16:36:09,26.4,24.5,21.1,-OL,C
2024/06/17,16:46:09,27.0,24.9,22.4,-OL,C
2024/06/17,16:56:09,27.0,25.4,21.8,-OL,C
2024/06/17,17:06:09,26.6,25.6,21.8,-OL,C
2024/06/17,17:16:09,25.9,25.6,21.8,-OL,C
2024/06/17,17:26:09,25.1,25.6,21.6,-OL,C
2024/06/17,17:36:09,24.3,25.6,21.4,-OL,C
2024/06/17,17:46:09,23.8,25.6,21.4,-OL,C
2024/06/17,17:56:09,23.4,25.6,21.3,-OL,C
2024/06/17,18:06:09,22.9,25.6,21.2,-OL,C
2024/06/17,18:16:09,22.4,25.6,20.9,-OL,C
2024/06/17,18:26:09,21.8,25.6,20.8,-OL,C
2024/06/17,18:36:09,21.3,25.6,20.5,-OL,C
2024/06/17,18:46:09,20.9,25.4,20.4,-OL,C
2024/06/17,18:56:09,20.4,25.4,20.1,-OL,C
2024/06/17,19:06:09,19.9,25.4,19.8,-OL,C
2024/06/17,19:16:09,19.6,25.4,19.4,-OL,C
2024/06/17,19:26:09,18.9,25.4,19.2,-OL,C
2024/06/17,19:36:09,18.6,25.3,19.1,-OL,C
2024/06/17,19:46:09,18.2,25.3,18.8,-OL,C
2024/06/17,19:56:09,17.9,25.3,18.7,-OL,C
2024/06/17,20:06:09,17.7,25.2,18.6,-OL,C
2024/06/17,20:16:09,17.6,25.2,18.5,-OL,C
2024/06/17,20:26:09,17.5,25.2,18.3,-OL,C
2024/06/17,20:36:09,17.2,25.2,18.3,-OL,C
2024/06/17,20:46:09,17.0,25.2,18.1,-OL,C
2024/06/17,20:56:09,16.8,25.2,18.0,-OL,C
2024/06/17,21:06:09,16.5,25.2,17.9,-OL,C
2024/06/17,21:16:09,16.2,25.1,17.9,-OL,C
2024/06/17,21:26:09,15.9,25.1,17.8,-OL,C
2024/06/17,21:36:09,15.8,25.1,17.8,-OL,C
2024/06/17,21:46:09,15.7,25.1,17.6,-OL,C
2024/06/17,21:56:09,15.6,25.1,17.6,-OL,C
2024/06/17,22:06:09,15.3,24.9,17.6,-OL,C
2024/06/17,22:16:09,15.2,24.9,17.6,-OL,C
2024/06/17,22:26:09,15.1,24.9,17.6,-OL,C
2024/06/17,22:36:09,15.0,24.9,17.5,-OL,C
2024/06/17,22:46:09,15.0,24.8,17.5,-OL,C
2024/06/17,22:56:09,14.9,24.8,17.5,-OL,C
2024/06/17,23:06:09,14.8,24.8,17.4,-OL,C
2024/06/17,23:16:09,14.6,24.7,17.4,-OL,C
2024/06/17,23:26:09,14.4,24.7,17.4,-OL,C
2024/06/17,23:36:09,14.3,24.7,17.4,-OL,C
2024/06/17,23:46:09,14.2,24.7,17.4,-OL,C
2024/06/17,23:56:09,14.2,24.6,17.5,-OL,C
2024/06/18,00:06:09,14.3,24.6,17.5,-OL,C
2024/06/18,00:16:09,14.3,24.6,17.5,-OL,C
2024/06/18,00:26:09,14.3,24.6,17.5,-OL,C
2024/06/18,00:36:09,14.2,24.4,17.4,-OL,C
2024/06/18,00:46:09,14.2,24.4,17.4,-OL,C
2024/06/18,00:56:09,14.1,24.3,17.5,-OL,C
2024/06/18,01:06:09,13.8,24.3,17.4,-OL,C
2024/06/18,01:16:09,13.7,24.3,17.4,-OL,C
2024/06/18,01:26:09,13.6,24.3,17.3,-OL,C
2024/06/18,01:36:09,13.5,24.2,17.3,-OL,C
2024/06/18,01:46:09,13.4,24.2,17.3,-OL,C
2024/06/18,01:56:09,13.3,24.2,17.3,-OL,C
2024/06/18,02:06:09,13.1,24.1,17.3,-OL,C
2024/06/18,02:16:09,13.0,24.1,17.3,-OL,C
2024/06/18,02:26:09,12.9,24.1,17.3,-OL,C
2024/06/18,02:36:09,12.8,24.0,17.3,-OL,C
2024/06/18,02:46:09,12.8,24.0,17.3,-OL,C
2024/06/18,02:56:09,12.7,24.0,17.3,-OL,C
2024/06/18,03:06:09,12.4,23.9,17.3,-OL,C
2024/06/18,03:16:09,12.4,23.9,17.3,-OL,C
2024/06/18,03:26:09,12.2,23.8,17.3,-OL,C
2024/06/18,03:36:09,12.2,23.8,17.3,-OL,C
2024/06/18,03:46:09,12.1,23.7,17.3,-OL,C
2024/06/18,03:56:09,11.9,23.7,17.3,-OL,C
2024/06/18,04:06:09,11.8,23.7,17.2,-OL,C
2024/06/18,04:16:09,11.8,23.7,17.2,-OL,C
2024/06/18,04:26:09,11.7,23.7,17.2,-OL,C
2024/06/18,04:36:09,11.6,23.6,17.2,-OL,C
2024/06/18,04:46:09,11.6,23.6,17.1,-OL,C
2024/06/18,04:56:09,11.4,23.6,17.1,-OL,C
2024/06/18,05:06:09,11.3,23.4,17.1,-OL,C
2024/06/18,05:16:09,11.2,23.4,17.1,-OL,C
2024/06/18,05:26:09,11.1,23.4,17.2,-OL,C
2024/06/18,05:36:09,11.1,23.3,17.2,-OL,C
2024/06/18,05:46:09,10.9,23.3,17.1,-OL,C
2024/06/18,05:56:09,10.8,23.3,17.1,-OL,C
2024/06/18,06:06:09,10.8,23.3,17.1,-OL,C
2024/06/18,06:16:09,10.8,23.3,16.9,-OL,C
2024/06/18,06:26:09,10.7,23.3,16.9,-OL,C
2024/06/18,06:36:09,10.7,23.2,16.8,-OL,C
2024/06/18,06:46:09,10.7,23.3,16.7,-OL,C
2024/06/18,06:56:09,10.7,23.3,16.7,-OL,C
2024/06/18,07:06:09,10.7,23.3,16.7,-OL,C
2024/06/18,07:16:09,10.7,23.3,16.7,-OL,C
2024/06/18,07:26:09,10.8,23.3,16.7,-OL,C
2024/06/18,07:36:09,11.4,23.2,16.7,-OL,C
2024/06/18,07:46:09,12.8,23.2,16.8,-OL,C
2024/06/18,07:56:09,14.4,23.3,16.9,-OL,C
2024/06/18,08:06:09,15.9,23.6,17.1,-OL,C
2024/06/18,08:16:09,17.6,24.1,17.4,-OL,C
2024/06/18,08:26:09,19.2,24.4,18.0,-OL,C
2024/06/18,08:36:09,20.5,25.2,18.1,-OL,C
2024/06/18,08:46:09,21.7,25.8,18.3,-OL,C
2024/06/18,08:56:09,22.9,26.5,18.4,-OL,C
2024/06/18,09:06:09,24.1,27.3,18.7,-OL,C
2024/06/18,09:16:09,25.1,28.2,18.7,-OL,C
2024/06/18,09:26:09,25.9,28.9,18.6,-OL,C
2024/06/18,09:36:09,26.6,29.6,18.6,-OL,C
2024/06/18,09:46:09,27.1,30.7,18.6,-OL,C
2024/06/18,09:56:09,27.4,31.6,18.4,-OL,C
2024/06/18,10:06:09,27.8,32.7,18.4,-OL,C
2024/06/18,10:16:09,28.2,33.7,18.5,-OL,C
2024/06/18,10:26:09,28.7,34.7,18.8,-OL,C
2024/06/18,10:36:09,29.1,35.6,19.4,-OL,C
2024/06/18,10:46:09,29.6,36.7,20.2,-OL,C
2024/06/18,10:56:09,30.1,37.6,21.3,-OL,C
2024/06/18,11:06:09,30.7,38.7,22.6,-OL,C
2024/06/18,11:16:09,30.8,39.4,23.3,-OL,C
2024/06/18,11:26:09,31.1,40.4,24.2,-OL,C
2024/06/18,11:36:09,32.7,41.6,24.9,-OL,C
2024/06/18,11:46:09,33.3,42.3,25.3,-OL,C
2024/06/18,11:56:09,33.2,42.6,24.9,-OL,C
2024/06/18,12:06:09,33.3,42.8,24.8,-OL,C
2024/06/18,12:16:09,33.3,43.1,24.8,-OL,C
2024/06/18,12:26:09,33.7,43.5,24.8,-OL,C
2024/06/18,12:36:09,33.6,43.8,24.8,-OL,C
2024/06/18,12:46:09,33.0,44.0,24.7,-OL,C
2024/06/18,12:56:09,32.7,44.1,24.8,-OL,C
2024/06/18,13:06:09,33.3,44.6,24.8,-OL,C
2024/06/18,13:16:09,33.4,44.9,24.8,-OL,C
2024/06/18,13:26:09,33.6,45.1,24.8,-OL,C
2024/06/18,13:36:09,33.8,45.2,24.8,-OL,C
2024/06/18,13:46:09,34.7,45.4,24.8,-OL,C
2024/06/18,13:56:09,34.1,45.6,24.6,-OL,C
2024/06/18,14:06:09,33.6,45.8,25.3,-OL,C
2024/06/18,14:16:09,33.7,45.9,25.1,-OL,C
2024/06/18,14:26:09,33.2,46.2,25.1,-OL,C
2024/06/18,14:36:09,33.2,46.4,24.9,-OL,C
2024/06/18,14:46:09,32.5,46.4,24.7,-OL,C
2024/06/18,14:56:09,32.1,46.5,24.8,-OL,C
2024/06/18,15:06:09,32.0,46.6,24.7,-OL,C
2024/06/18,15:16:09,31.9,46.7,24.6,-OL,C
2024/06/18,15:26:09,31.7,46.8,24.5,-OL,C
2024/06/18,15:36:09,31.6,47.1,24.5,-OL,C
2024/06/18,15:46:09,31.6,47.3,24.2,-OL,C
2024/06/18,15:56:09,31.2,47.4,24.1,-OL,C
2024/06/18,16:06:09,31.9,47.6,23.8,-OL,C
2024/06/18,16:16:09,32.7,48.0,24.1,-OL,C
2024/06/18,16:26:09,33.5,48.2,23.6,-OL,C
2024/06/18,16:36:09,34.3,48.7,23.7,-OL,C
2024/06/18,16:46:09,34.3,49.1,24.6,-OL,C
2024/06/18,16:56:09,33.6,49.2,24.5,-OL,C
2024/06/18,17:06:09,33.1,49.2,24.5,-OL,C
2024/06/18,17:16:09,32.8,49.2,23.7,-OL,C
2024/06/18,17:26:09,32.4,49.2,23.2,-OL,C
2024/06/18,17:36:09,31.8,49.1,23.0,-OL,C
2024/06/18,17:46:09,31.3,48.8,22.6,-OL,C
2024/06/18,17:56:09,30.9,48.7,22.3,-OL,C
2024/06/18,18:06:09,30.8,48.5,22.2,-OL,C
2024/06/18,18:16:09,30.5,48.4,21.8,-OL,C
2024/06/18,18:26:09,30.3,48.2,21.4,-OL,C
2024/06/18,18:36:09,30.0,48.0,21.1,-OL,C
2024/06/18,18:46:09,29.8,47.9,20.8,-OL,C
2024/06/18,18:56:09,29.6,47.7,20.3,-OL,C
2024/06/18,19:06:09,29.3,47.6,20.1,-OL,C
2024/06/18,19:16:09,29.1,47.4,19.8,-OL,C
2024/06/18,19:26:09,28.9,47.2,19.6,-OL,C
2024/06/18,19:36:09,28.8,46.9,19.4,-OL,C
2024/06/18,19:46:09,28.7,46.8,19.1,-OL,C
2024/06/18,19:56:09,28.5,46.7,18.8,-OL,C
2024/06/18,20:06:09,28.4,46.4,18.6,-OL,C
2024/06/18,20:16:09,28.1,46.3,18.3,-OL,C
2024/06/18,20:26:09,27.9,46.2,18.2,-OL,C
2024/06/18,20:36:09,27.7,46.1,18.1,-OL,C
2024/06/18,20:46:09,27.4,46.0,18.1,-OL,C
2024/06/18,20:56:09,27.3,45.7,18.1,-OL,C
2024/06/18,21:06:09,27.1,45.6,17.9,-OL,C
2024/06/18,21:16:09,26.8,45.5,17.9,-OL,C
2024/06/18,21:26:09,26.7,45.4,17.9,-OL,C
2024/06/18,21:36:09,26.6,45.3,17.8,-OL,C
2024/06/18,21:46:09,26.4,45.2,17.8,-OL,C
2024/06/18,21:56:09,26.2,45.0,17.8,-OL,C
2024/06/18,22:06:09,26.0,44.8,17.7,-OL,C
2024/06/18,22:16:09,25.8,44.7,17.7,-OL,C
2024/06/18,22:26:09,25.6,44.6,17.7,-OL,C
2024/06/18,22:36:09,25.4,44.4,17.7,-OL,C
2024/06/18,22:46:09,25.3,44.3,17.7,-OL,C
2024/06/18,22:56:09,25.3,44.2,17.8,-OL,C
2024/06/18,23:06:09,25.3,44.1,17.8,-OL,C
2024/06/18,23:16:09,25.4,44.0,17.9,-OL,C
2024/06/18,23:26:09,25.6,43.8,18.1,-OL,C
2024/06/18,23:36:09,25.6,43.8,18.1,-OL,C
2024/06/18,23:46:09,25.6,43.7,18.1,-OL,C
2024/06/18,23:56:09,25.6,43.6,18.1,-OL,C
2024/06/19,00:06:09,25.4,43.4,18.1,-OL,C
2024/06/19,00:16:09,25.3,43.4,18.1,-OL,C
2024/06/19,00:26:09,25.2,43.3,18.1,-OL,C
2024/06/19,00:36:09,25.2,43.2,18.1,-OL,C
2024/06/19,00:46:09,25.2,43.2,18.1,-OL,C
2024/06/19,00:56:09,25.2,43.1,18.1,-OL,C
2024/06/19,01:06:09,25.2,42.9,18.1,-OL,C
2024/06/19,01:16:09,25.3,42.8,18.1,-OL,C
2024/06/19,01:26:09,25.3,42.7,18.1,-OL,C
2024/06/19,01:36:09,25.3,42.7,18.1,-OL,C
2024/06/19,01:46:09,25.3,42.6,18.1,-OL,C
2024/06/19,01:56:09,25.3,42.5,18.1,-OL,C
2024/06/19,02:06:09,25.3,42.5,17.9,-OL,C
2024/06/19,02:16:09,25.3,42.4,17.9,-OL,C
2024/06/19,02:26:09,25.2,42.2,17.9,-OL,C
2024/06/19,02:36:09,25.2,42.1,17.9,-OL,C
2024/06/19,02:46:09,25.2,42.1,17.9,-OL,C
2024/06/19,02:56:09,25.2,42.0,17.9,-OL,C
2024/06/19,03:06:09,25.1,41.9,17.9,-OL,C
2024/06/19,03:16:09,24.8,41.9,17.8,-OL,C
2024/06/19,03:26:09,24.6,41.8,17.8,-OL,C
2024/06/19,03:36:09,24.4,41.7,17.8,-OL,C
2024/06/19,03:46:09,24.2,41.6,17.7,-OL,C
2024/06/19,03:56:09,24.0,41.4,17.7,-OL,C
2024/06/19,04:06:09,23.9,41.4,17.7,-OL,C
2024/06/19,04:16:09,23.9,41.3,17.7,-OL,C
2024/06/19,04:26:09,23.9,41.2,17.7,-OL,C
2024/06/19,04:36:09,24.0,41.1,17.8,-OL,C
2024/06/19,04:46:09,24.0,41.0,17.8,-OL,C
2024/06/19,04:56:09,24.0,41.0,17.9,-OL,C
2024/06/19,05:06:09,24.0,40.9,17.9,-OL,C
2024/06/19,05:16:09,24.0,40.8,17.9,-OL,C
2024/06/19,05:26:09,24.0,40.7,17.9,-OL,C
2024/06/19,05:36:09,24.0,40.7,17.9,-OL,C
2024/06/19,05:46:09,23.8,40.6,17.9,-OL,C
2024/06/19,05:56:09,23.7,40.4,17.9,-OL,C
2024/06/19,06:06:09,23.7,40.4,17.9,-OL,C
2024/06/19,06:16:09,23.7,40.3,17.9,-OL,C
2024/06/19,06:26:09,23.9,40.3,17.9,-OL,C
2024/06/19,06:36:09,23.9,40.2,17.9,-OL,C
2024/06/19,06:46:09,23.9,40.1,17.9,-OL,C
2024/06/19,06:56:09,23.9,40.0,17.9,-OL,C
2024/06/19,07:06:09,24.0,40.0,17.9,-OL,C
2024/06/19,07:16:09,24.1,39.9,17.9,-OL,C
2024/06/19,07:26:09,24.1,39.9,17.9,-OL,C
2024/06/19,07:36:09,24.2,39.8,18.1,-OL,C
2024/06/19,07:46:09,24.2,39.8,18.1,-OL,C
2024/06/19,07:56:09,24.2,39.6,18.1,-OL,C
2024/06/19,08:06:09,24.2,39.6,18.1,-OL,C
