Date,Time,T1,T2, T3,T4, Scale
2024/05/18,09:00:11,51.6,60.8,-OL,-OL,C
2024/05/18,09:10:11,52.4,61.2,-OL,-OL,C
2024/05/18,09:20:11,53.4,62.1,-OL,-OL,C
2024/05/18,09:30:11,54.2,63.0,-OL,-OL,C
2024/05/18,09:40:11,54.5,63.6,-OL,-OL,C
2024/05/18,09:50:11,54.7,64.3,-OL,-OL,C
2024/05/18,10:00:11,56.0,65.4,-OL,-OL,C
2024/05/18,10:10:11,57.2,66.7,-OL,-OL,C
2024/05/18,10:20:11,58.0,67.4,-OL,-OL,C
2024/05/18,10:30:11,57.9,67.9,-OL,-OL,C
2024/05/18,10:40:11,58.9,68.9,-OL,-OL,C
2024/05/18,10:50:11,59.7,69.7,-OL,-OL,C
2024/05/18,11:00:11,59.6,70.3,-OL,-OL,C
2024/05/18,11:10:11,60.6,71.4,-OL,-OL,C
2024/05/18,11:20:11,61.4,72.6,-OL,-OL,C
2024/05/18,11:30:11,62.0,73.6,-OL,-OL,C
2024/05/18,11:40:11,62.7,74.5,-OL,-OL,C
2024/05/18,11:50:11,63.9,75.6,-OL,-OL,C
2024/05/18,12:00:11,64.6,76.3,-OL,-OL,C
2024/05/18,12:10:11,65.3,76.8,-OL,-OL,C
2024/05/18,12:20:11,64.9,77.5,-OL,-OL,C
2024/05/18,12:30:11,64.7,78.3,-OL,-OL,C
2024/05/18,12:40:11,65.4,79.4,-OL,-OL,C
2024/05/18,12:50:11,66.2,80.0,-OL,-OL,C
2024/05/18,13:00:11,66.2,79.8,-OL,-OL,C
2024/05/18,13:10:11,66.3,80.3,-OL,-OL,C
2024/05/18,13:20:11,66.3,80.9,-OL,-OL,C
2024/05/18,13:30:11,66.6,81.1,-OL,-OL,C
2024/05/18,13:40:11,66.9,81.4,-OL,-OL,C
2024/05/18,13:50:11,66.6,81.4,-OL,-OL,C
2024/05/18,14:00:11,66.7,81.2,-OL,-OL,C
2024/05/18,14:10:11,66.9,81.2,-OL,-OL,C
2024/05/18,14:20:11,66.9,81.2,-OL,-OL,C
2024/05/18,14:30:11,66.3,81.2,-OL,-OL,C
2024/05/18,14:40:11,66.4,81.3,-OL,-OL,C
2024/05/18,14:50:11,66.7,81.2,-OL,-OL,C
2024/05/18,15:00:11,66.9,81.0,-OL,-OL,C
2024/05/18,15:10:11,66.4,81.0,-OL,-OL,C
2024/05/18,15:20:11,66.8,80.8,-OL,-OL,C
2024/05/18,15:30:11,66.2,80.8,-OL,-OL,C
2024/05/18,15:40:11,65.6,80.7,-OL,-OL,C
2024/05/18,15:50:11,65.7,80.4,-OL,-OL,C
2024/05/18,16:00:11,66.3,80.2,-OL,-OL,C
2024/05/18,16:10:11,66.3,80.2,-OL,-OL,C
2024/05/18,16:20:11,66.3,79.9,-OL,-OL,C
2024/05/18,16:30:11,65.9,79.7,-OL,-OL,C
2024/05/18,16:40:11,65.9,79.4,-OL,-OL,C
2024/05/18,16:50:11,65.9,79.1,-OL,-OL,C
2024/05/18,17:00:11,64.9,78.9,-OL,-OL,C
2024/05/18,17:10:11,64.4,78.5,-OL,-OL,C
2024/05/18,17:20:11,64.5,78.2,-OL,-OL,C
2024/05/18,17:30:11,64.3,77.8,-OL,-OL,C
2024/05/18,17:40:11,64.4,77.5,-OL,-OL,C
2024/05/18,17:50:11,64.5,77.2,-OL,-OL,C
2024/05/18,18:00:11,64.5,77.0,-OL,-OL,C
2024/05/18,18:10:11,64.1,76.8,-OL,-OL,C
2024/05/18,18:20:11,64.0,76.5,-OL,-OL,C
2024/05/18,18:30:11,63.7,76.2,-OL,-OL,C
2024/05/18,18:40:11,63.4,75.9,-OL,-OL,C
2024/05/18,18:50:11,63.1,75.7,-OL,-OL,C
2024/05/18,19:00:11,63.1,75.4,-OL,-OL,C
2024/05/18,19:10:11,61.7,75.2,-OL,-OL,C
2024/05/18,19:20:11,60.6,75.0,-OL,-OL,C
2024/05/18,19:30:11,60.6,74.7,-OL,-OL,C
2024/05/18,19:40:11,61.1,74.5,-OL,-OL,C
2024/05/18,19:50:11,61.6,74.3,-OL,-OL,C
2024/05/18,20:00:11,61.4,74.1,-OL,-OL,C
2024/05/18,20:10:11,61.4,73.8,-OL,-OL,C
2024/05/18,20:20:11,60.7,73.6,-OL,-OL,C
2024/05/18,20:30:11,60.3,73.3,-OL,-OL,C
2024/05/18,20:40:11,60.0,72.9,-OL,-OL,C
2024/05/18,20:50:11,59.1,72.7,-OL,-OL,C
2024/05/18,21:00:11,58.7,72.4,-OL,-OL,C
2024/05/18,21:10:11,58.4,72.2,-OL,-OL,C
2024/05/18,21:20:11,58.3,72.0,-OL,-OL,C
2024/05/18,21:30:11,58.7,71.7,-OL,-OL,C
2024/05/18,21:40:11,58.3,71.5,-OL,-OL,C
2024/05/18,21:50:11,58.5,71.3,-OL,-OL,C
2024/05/18,22:00:11,58.7,71.2,-OL,-OL,C
2024/05/18,22:10:11,59.0,70.9,-OL,-OL,C
2024/05/18,22:20:11,58.9,70.7,-OL,-OL,C
2024/05/18,22:30:11,58.7,70.6,-OL,-OL,C
2024/05/18,22:40:11,58.2,70.3,-OL,-OL,C
2024/05/18,22:50:11,58.2,70.2,-OL,-OL,C
2024/05/18,23:00:11,58.1,70.0,-OL,-OL,C
2024/05/18,23:10:11,57.6,69.9,-OL,-OL,C
2024/05/18,23:20:11,57.6,69.7,-OL,-OL,C
2024/05/18,23:30:11,57.8,69.4,-OL,-OL,C
2024/05/18,23:40:11,57.9,69.3,-OL,-OL,C
2024/05/18,23:50:11,57.8,69.2,-OL,-OL,C
2024/05/19,00:00:11,57.8,69.0,-OL,-OL,C
2024/05/19,00:10:11,57.6,68.9,-OL,-OL,C
2024/05/19,00:20:11,57.6,68.6,-OL,-OL,C
2024/05/19,00:30:11,57.4,68.5,-OL,-OL,C
2024/05/19,00:40:11,57.1,68.4,-OL,-OL,C
2024/05/19,00:50:11,56.9,68.2,-OL,-OL,C
2024/05/19,01:00:11,56.8,68.1,-OL,-OL,C
2024/05/19,01:10:11,56.8,67.8,-OL,-OL,C
2024/05/19,01:20:11,56.6,67.7,-OL,-OL,C
2024/05/19,01:30:11,56.5,67.6,-OL,-OL,C
2024/05/19,01:40:11,56.3,67.3,-OL,-OL,C
2024/05/19,01:50:11,55.8,67.2,-OL,-OL,C
2024/05/19,02:00:11,54.9,67.1,-OL,-OL,C
2024/05/19,02:10:11,54.9,66.9,-OL,-OL,C
2024/05/19,02:20:11,55.1,66.8,-OL,-OL,C
2024/05/19,02:30:11,55.2,66.5,-OL,-OL,C
2024/05/19,02:40:11,55.1,66.4,-OL,-OL,C
2024/05/19,02:50:11,54.9,66.3,-OL,-OL,C
2024/05/19,03:00:11,54.7,66.1,-OL,-OL,C
2024/05/19,03:10:11,54.7,65.9,-OL,-OL,C
2024/05/19,03:20:11,54.6,65.8,-OL,-OL,C
2024/05/19,03:30:11,54.4,65.6,-OL,-OL,C
2024/05/19,03:40:11,54.4,65.5,-OL,-OL,C
2024/05/19,03:50:11,54.3,65.3,-OL,-OL,C
2024/05/19,04:00:11,54.2,65.2,-OL,-OL,C
2024/05/19,04:10:11,54.1,65.0,-OL,-OL,C
2024/05/19,04:20:11,53.7,64.9,-OL,-OL,C
2024/05/19,04:30:11,53.4,64.8,-OL,-OL,C
2024/05/19,04:40:11,53.3,64.7,-OL,-OL,C
2024/05/19,04:50:11,53.3,64.4,-OL,-OL,C
2024/05/19,05:00:11,53.1,64.3,-OL,-OL,C
2024/05/19,05:10:11,52.8,64.2,-OL,-OL,C
2024/05/19,05:20:11,52.8,63.9,-OL,-OL,C
2024/05/19,05:30:11,52.6,63.8,-OL,-OL,C
2024/05/19,05:40:11,52.4,63.7,-OL,-OL,C
2024/05/19,05:50:11,52.2,63.6,-OL,-OL,C
2024/05/19,06:00:11,51.7,63.5,-OL,-OL,C
2024/05/19,06:10:11,51.7,63.2,-OL,-OL,C
2024/05/19,06:20:11,51.8,63.1,-OL,-OL,C
2024/05/19,06:30:11,51.7,63.0,-OL,-OL,C
2024/05/19,06:40:11,51.6,62.8,-OL,-OL,C
2024/05/19,06:50:11,51.4,62.7,-OL,-OL,C
2024/05/19,07:00:11,51.4,62.6,-OL,-OL,C
2024/05/19,07:10:11,51.3,62.4,-OL,-OL,C
